Year, Pseudodiploria strigosa, Undaria agaricites complex, Stephanocoenia intersepta, Solenastrea bournoni, Siderastrea siderea, Siderastrea radians, Scolymia sp_, Scleractinia, Porites astreoides, Pseudodiploria clivosa, Porites porites complex, Isophyllia rigida, Orbicella annularis complex, Oculina robusta, Oculina diffusa, Mycetophyllia lamarckiana complex, Mycetophyllia ferox, Mycetophyllia aliciae, Montastraea cavernosa, Mussa angulosa, Meandrina meandrites, Millepora complanata, Millepora alcicornis, Madracis decactis complex, Manicina areolata, Madracis aurentenra, Isophyllia sinuosa, Acropora cervicornis, Helioseris cucullata, Acropora palmata, Acropora prolifera, Agaricia fragilis, Agaricia lamarcki, Cladocora arbuscula, Dendrogyra cylindrus, Colpophyllia natans, Dichocoenia stokesii, Diploria labyrinthiformis, Favia fragum, Eusmilia fastigiata
1996,0.002391301,0.001139715,0.000270384,0.000102711,0.008652062,0.000297707,0,0.005277701,0.005424208,0.000376351,0.001273317,0,0.034582617,0,0.000129592,0.000221753,9.46445E-05,8.23101E-05,0.013392489,5.15177E-05,0.000420673,0.007702734,0.004557211,2.88646E-05,2.09732E-05,7.67813E-06,0,0.001972188,0,0.010034891,0,9.78091E-06,0,0,0.001326406,0.005076638,0.000592562,0.001319434,3.16278E-05,4.25206E-05
1997,0.001687241,0.000934664,0.000137593,0.00013881,0.00824403,0.000170026,0,0.003105726,0.006464452,0.00056232,0.00136744,1.06474E-05,0.036855217,0,0.000156019,0.000272773,9.27644E-05,0.000107578,0.012614738,4.34794E-05,0.00028129,0.006168494,0.005838877,5.52866E-05,3.18653E-05,0.000116387,0,0.00184516,3.36345E-05,0.008467523,0,1.19503E-05,7.12928E-05,0,0.001246855,0.003468967,0.000648173,0.000738563,5.51802E-05,7.57353E-05
1998,0.000586571,0.000390734,0.00017457,0.000297646,0.008577185,0.000161188,1.05219E-05,0.000954454,0.006436323,0.000474171,0.000806233,0,0.030978945,0,0.000273928,0.000302443,7.52114E-05,8.82529E-05,0.011825113,0.000061335,0.000249823,0.004448701,0.004082634,5.30201E-05,0,4.55541E-05,1.10816E-05,0.000717984,0,0.00675044,0,0,2.38911E-05,1.10424E-05,0.001080508,0.004511261,0.000583246,0.000755215,0,5.35188E-05
1999,0.000430865,0.000295223,0.000117018,0.000129344,0.00750214,8.92813E-05,0,0.002271527,0.005645686,0.000595454,0.000344343,0,0.029491152,0,0.000286279,7.73212E-05,0.000155493,0.000119863,0.013100011,9.85416E-06,0.000080283,0.000385495,0.003820195,0,0,0.000012722,0,0.001430197,1.18895E-05,0.001302651,0,0,3.04771E-05,0,0.000853197,0.004486636,0.00033636,0.000498903,2.07906E-05,8.00399E-05
2000,0.000521072,0.000519947,0.000284341,0.000117449,0.009071288,0.000126448,9.82087E-06,0.001774332,0.0070703,0.000378388,0.000503433,0,0.027266416,0,0.000296394,0.000242917,0.000107998,0.000108037,0.012970228,5.99582E-05,0.0003285,0.000287392,0.002803074,9.97248E-06,0,0,0,0.001105348,1.00762E-05,0.001292176,0,0,6.06359E-05,3.14084E-05,0.001023352,0.004443301,0.000459819,0.000473329,3.02188E-05,0.000048877
2001,0.000843421,0.00079221,0.000651529,7.76667E-05,0.009116638,0.000138802,1.05585E-05,0.001078244,0.006364627,0.000507799,0.000520983,0,0.03149844,0,0.000573352,4.51637E-05,7.70201E-05,0.000165386,0.013181558,3.52473E-05,0.000354462,0.000166969,0.003086713,1.18861E-05,0,0,0,0.001095767,0,0.00094672,0,0,0,0,0.000865859,0.004077693,0.0005189,0.000550664,1.22811E-05,3.46924E-05
2002,0.000885881,0.000656141,0.0006266,0.000110815,0.009719581,3.77553E-05,0,0.00049823,0.006931974,0.000375498,0.000516481,0,0.030264526,0,0.000660809,0.000170521,9.82268E-05,0.000131904,0.013578833,0,0.000379005,0.000217537,0.003410136,0,1.31695E-05,1.46103E-05,0,0.001354537,1.44375E-05,0.001967849,0,0,1.36971E-05,0,0.001093123,0.005116511,0.000394038,0.000460818,0.000041369,0.000109013
2003,0.000868317,0.000614584,0.000679294,8.70013E-05,0.006255678,4.24475E-05,0,0.00093585,0.005133791,0.000299288,0.000724193,0,0.025032701,0,0.000560898,9.02185E-06,0.000091035,0.000101778,0.014107771,3.96649E-05,0.00041662,0.000284073,0.003063919,2.87391E-05,0,5.78519E-05,0,0.009095876,0,0.000915231,0,0,5.16522E-05,0,0.000537067,0.003504606,0.000340523,0.000369097,3.03096E-05,1.70236E-05
2004,0.000467111,0.000446082,0.000657559,4.28431E-05,0.005911641,0.000017225,1.00381E-05,0.000560123,0.004002589,0.000481938,0.00071441,0,0.021330635,0,0.000381153,2.56105E-05,0.000127851,0.000159015,0.01119707,1.74034E-05,0.000597468,0.000246472,0.002942643,2.64029E-05,0,0,0,0.009972944,0,0.002094021,0.001762234,0,1.96894E-05,0,0.000333114,0.003334827,0.00026927,0.000341032,0.000029441,6.23141E-05
2005,0.00074255,0.000492037,0.000874904,0.000190927,0.006221054,9.68959E-05,8.72966E-06,0.000459815,0.003999194,0.000182722,0.000624089,0,0.022069143,0,0.000602245,3.61578E-05,0.000119947,6.18225E-05,0.010896304,4.39314E-05,0.000406756,6.68324E-05,0.00326464,0,0,0,0,0.008947202,0,0.001560582,0.001374924,0,1.83592E-05,0,0.000300934,0.003184539,0.000418371,0.000332703,2.63486E-05,3.08146E-05
