Row Labels,Domain Richness
1996,43
1997,43
1998,41
1999,42
2000,44
2001,40
2002,40
2003,41
2004,43
2005,40
2006,41
2007,41
2008,41
2009,43
2010,46
2011,46
2012,46
2013,45
2014,45
2015,43
