Spp Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
 Madracis decactis complex,2.88646E-05,5.52866E-05,5.30201E-05,0,9.97248E-06,1.18861E-05,0,2.87391E-05,2.64029E-05,0,0,1.82496E-05,5.39584E-06,9.53652E-06,4.52775E-05,0.000067947,7.03251E-05,4.17729E-05,0.000064092,4.70215E-05
 Manicina areolata,2.09732E-05,3.18653E-05,0,0,0,0,1.31695E-05,0,0,0,0,0,0,0,0,1.26841E-05,8.61509E-06,4.02253E-06,3.93264E-06,3.43569E-05
 Madracis aurentenra,7.67813E-06,0.000116387,4.55541E-05,0.000012722,0,0,1.46103E-05,5.78519E-05,0,0,1.90665E-05,6.1736E-06,2.52301E-05,2.47666E-05,4.05769E-05,2.34558E-05,4.47663E-05,0.000040693,0.000111006,0.000057283
 Isophyllia sinuosa,0,0,1.10816E-05,0,0,0,0,0,0,0,0,0,0,0.000024256,0,1.26248E-05,0,0,1.24886E-05,0
 Acropora cervicornis,0.001972188,0.00184516,0.000717984,0.001430197,0.001105348,0.001095767,0.001354537,0.009095876,0.009972944,0.008947202,0.005846015,0.006795989,0.007307199,0.005373768,0.004183002,0.00251278,0.002479013,0.001728736,0.002359111,0.001728133
 Helioseris cucullata,0,3.36345E-05,0,1.18895E-05,1.00762E-05,0,1.44375E-05,0,0,0,0,0,0,1.84723E-05,0,4.26103E-06,8.52206E-06,1.16194E-05,0,0
 Acropora palmata,0.010034891,0.008467523,0.00675044,0.001302651,0.001292176,0.00094672,0.001967849,0.000915231,0.002094021,0.001560582,0.000539073,0.000752822,0.000687229,0.000805674,0.0008441,0.000902366,0.000988963,0.001131876,0.001331551,0.000948652
 Acropora prolifera,0,0,0,0,0,0,0,0,0.001762234,0.001374924,0.000754677,0.001420435,0.001237557,0.001141404,0.001034107,0.001273674,0.001196133,0.001067032,0.001261767,0.001202468
 Agaricia fragilis,9.78091E-06,1.19503E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22041E-06,0,1.84644E-05,0
 Agaricia lamarcki,0,7.12928E-05,2.38911E-05,3.04771E-05,6.06359E-05,0,1.36971E-05,5.16522E-05,1.96894E-05,1.83592E-05,0,0,6.50838E-06,8.85771E-06,0.0000106,8.0243E-06,2.96995E-05,3.12931E-05,4.73145E-05,2.82677E-05
 Cladocora arbuscula,0,0,1.10424E-05,0,3.14084E-05,0,0,0,0,0,0,0,0,0,1.84336E-05,3.08102E-05,2.55026E-05,0,2.30991E-05,3.59579E-06
 Dendrogyra cylindrus,0.001326406,0.001246855,0.001080508,0.000853197,0.001023352,0.000865859,0.001093123,0.000537067,0.000333114,0.000300934,0.000183284,0.000220313,0.000312365,0.000128811,0.000224806,0.000206072,0.000154721,0.000180554,0.000116019,5.40729E-05
 Colpophyllia natans,0.005076638,0.003468967,0.004511261,0.004486636,0.004443301,0.004077693,0.005116511,0.003504606,0.003334827,0.003184539,0.002528033,0.003325344,0.002233101,0.006315801,0.005107012,0.004911408,0.005154791,0.004033838,0.006327681,0.005493372
 Dichocoenia stokesii,0.000592562,0.000648173,0.000583246,0.00033636,0.000459819,0.0005189,0.000394038,0.000340523,0.00026927,0.000418371,0.000307249,0.000282591,0.000280917,0.00029802,0.000266097,0.000227462,0.000378476,0.000301115,0.00042001,0.000375469
 Diploria labyrinthiformis,0.001319434,0.000738563,0.000755215,0.000498903,0.000473329,0.000550664,0.000460818,0.000369097,0.000341032,0.000332703,0.000181836,0.000198135,0.000277342,0.000245222,0.000229866,0.000254594,0.000294432,0.000191842,0.000278592,0.000324665
 Favia fragum,3.16278E-05,5.51802E-05,0,2.07906E-05,3.02188E-05,1.22811E-05,0.000041369,3.03096E-05,0.000029441,2.63486E-05,1.71116E-05,1.20836E-05,4.83559E-06,0,0,0,4.61118E-06,3.60393E-06,0,3.2809E-06
 Eusmilia fastigiata,4.25206E-05,7.57353E-05,5.35188E-05,8.00399E-05,0.000048877,3.46924E-05,0.000109013,1.70236E-05,6.23141E-05,3.08146E-05,1.88549E-05,3.12326E-05,7.64988E-05,0.000073526,9.42684E-05,0.000105259,6.65096E-05,9.40499E-05,5.87376E-05,9.09744E-05
