YEAR,protected_status,richness,simpson,shannon
1999,0,8,2.588296962288217,3.0417761277379984
2000,0,7,2.6762586928708063,3.286503402358324
2001,0,8,2.9320383309764937,3.5234376803395357
2002,0,10,2.4556614215375863,3.1922012467075023
2003,0,8,2.2762786892071376,2.689077448725863
2004,0,8,3.3633492742683777,4.242429594812052
2005,0,9,2.4119231370276566,3.0053052944885086
2006,0,8,2.571305491867944,3.3058289259563596
2007,0,10,3.532915875197374,4.291198029337923
2008,0,9,2.3834073584453557,3.129560151736933
2009,0,11,2.9922320180391875,3.563423579998334
2010,0,10,2.4560786192248942,2.969091371312916
2011,0,9,2.495740876598563,3.054533727013451
2012,0,7,2.271998190383654,2.9885581626830295
2014,0,9,2.2619087182389555,3.1146135260978225
2016,0,9,2.637886792002108,3.5142577811648406
1999,1,8,1.5571598233683182,2.074495291060303
2000,1,8,2.666733778409899,3.3340288494252457
2001,1,8,2.1850933401880335,2.9228136747301163
2002,1,8,2.6973223168582816,3.474623270943456
2003,1,8,2.2346711149333154,3.0474301650962636
2004,1,8,2.1641745424306227,2.9505401791988537
2005,1,7,2.2472443365676718,3.112130111774356
2006,1,8,2.4559269069645913,3.4063064271950854
2007,1,8,2.4244214698371995,3.308648225765627
2008,1,8,1.964382038176603,2.8193242154575504
2009,1,11,2.3222094721772426,3.152011537578863
2010,1,9,2.43900625558825,3.0189476497253733
2011,1,8,2.6020241754247775,3.3092279086529253
2012,1,8,1.873194320238437,2.6329835183079
2014,1,8,2.198895321953336,3.092791979083507
2016,1,9,2.5088193299690333,3.464728249738566
1999,all,8,2.567569452665444,3.017044635334472
2000,all,8,2.763874701618485,3.411196291707554
2001,all,9,2.9010866713770858,3.496782641290939
2002,all,10,2.4807709291231923,3.251916763795149
2003,all,9,2.299344863528956,2.824340368224746
2004,all,9,3.227492468375964,4.1497613601349075
2005,all,9,2.4185577434385035,3.053861110962359
2006,all,8,2.568032891500109,3.3323965470338033
2007,all,11,3.432864828068509,4.225976784696771
2008,all,9,2.352653223678766,3.114667627931471
2009,all,11,2.9716882887425875,3.5678001397012697
2010,all,10,2.4585046660083667,2.9815992606374015
2011,all,9,2.5021747281798365,3.0728725645034336
2012,all,8,2.2473550854413675,2.9711488261434895
2014,all,9,2.2588317669008475,3.119603924102261
2016,all,10,2.6368815642033963,3.538163774219119
