YEAR,protected_status,richness,shannon,simpson
1994,0,1,1.0,1.0
1995,0,3,1.468372819468631,1.2370479142621937
1996,0,1,1.0,1.0
1997,0,2,1.3207783281236947,1.172089828477828
1998,0,2,1.1039830732042275,1.0412733722977363
1999,0,1,1.0,1.0
2000,0,2,1.040518813805195,1.0132890324630832
2001,0,4,1.03303858534064,1.0091889990388225
2002,0,6,2.45946586961887,1.922181487517121
2003,0,6,3.2620356162657362,2.958573515986713
2004,0,8,2.4591214872479217,2.0787293876376736
2005,0,3,1.8936611675972765,1.5429845174535972
2006,0,1,1.0,1.0
2007,0,3,1.2788042338171004,1.1155507155726674
2008,0,4,2.323097231741681,1.9478569576059355
2009,0,8,4.118472457439726,3.2956662880219842
2010,0,4,1.552697816513562,1.2499143858196538
2011,0,6,1.8645600539288234,1.431888039352865
2012,0,4,2.5598140493562656,2.1201083382168515
2014,0,5,2.6354653335229807,2.116459256009581
2016,0,4,3.7446421991071897,3.589617332480538
1998,1,1,1.0,1.0
1999,1,0,1.0,Inf
2000,1,3,1.2431380503713334,1.1151149864815746
2001,1,4,2.0004681580746912,1.9996431015498666
2002,1,3,2.180368594432107,1.9887352030630934
2003,1,3,1.8981323520405957,1.6109208494858664
2004,1,3,1.162599121027746,1.0654681266856971
2005,1,1,1.0,1.0
2006,1,4,1.3330553416874589,1.1503709627588456
2007,1,3,1.4584069655391234,1.230460415279981
2008,1,0,1.0,Inf
2009,1,3,1.5761123920267806,1.292439686982805
2010,1,2,1.3965835615033817,1.2293291004499127
2011,1,5,1.967645673602387,1.4794735156308856
2012,1,4,2.133871979744984,1.9676748149550716
2014,1,4,2.2811926934574704,2.112681869120424
2016,1,4,1.3695458535868539,1.1701804280955437
1994,all,1,1.0,1.0
1995,all,3,1.468372819468631,1.2370479142621937
1996,all,1,1.0,1.0
1997,all,2,1.3207783281236947,1.172089828477828
1998,all,2,1.7048276755471312,1.5361384985110995
1999,all,1,1.0,1.0
2000,all,4,2.045295083815391,2.010456156112653
2001,all,5,1.817441218842999,1.6742709788057044
2002,all,6,3.6462580884293616,3.102417972945971
2003,all,6,3.282127255963735,2.967082869048262
2004,all,8,2.4618536178920407,2.0794312743475847
2005,all,3,1.9045281745841895,1.5502011679361876
2006,all,5,2.2216042498280215,2.0336633832680135
2007,all,5,1.2865237323580272,1.1166143024769448
2008,all,4,2.3230972317416816,1.9478569576059355
2009,all,8,4.147123520139771,3.350331983685474
2010,all,4,1.5581021037986733,1.2499322142493976
2011,all,8,2.1782896967093195,1.674679997066952
2012,all,6,3.002014291629032,2.3004779869696175
2014,all,6,4.187109274232943,3.796095062350708
2016,all,5,1.612714039248567,1.2614717863029121
