YEAR,richness,shannon,simpson
1999,3,1.9372473417739635,1.7101217194496745
2000,4,2.666335486517837,2.099968807099797
2001,4,2.1733761129395215,1.6423645603819303
2002,4,3.175453137650455,2.6624268758160845
2003,4,3.0436723424581893,2.6277950384868616
2004,4,2.71170749036985,2.259919053517076
2005,4,2.6663713011503183,2.1896955325970255
2006,4,3.1117161535185756,2.6091955902255752
2007,4,3.0566446871960724,2.7751417505133977
2008,4,3.4614103634256854,3.012667793938425
2009,5,3.4270791673451586,2.9772953550689696
2010,4,2.756105327424998,2.2562261162760713
2011,5,4.076582362922423,3.919346141051514
2012,4,2.82232956220804,2.3788908081770566
2014,4,2.3094279773474584,1.720995728306793
2016,4,2.8776301884744306,2.2647201630064333
