YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
2006,DRY TORT,MYC INTE,0.004718945176960445,6.209351658490313e-6,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,MYC MICR,0.0,0.0,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,MYC PHEN,0.08091603053435116,6.481817470095372e-4,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,MYC TIGR,0.0011797362942401112,1.3899692869962482e-6,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,MYC VENE,0.0011797362942401112,1.3899692869962482e-6,35,68,1398.0,316442.46818484575,0
2006,DRY TORT,SRR SPE.,0.0,0.0,35,68,1398.0,316442.46818484575,0
2008,DRY TORT,CEP CRUE,0.2866488289846252,0.0020090607314154872,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,CEP FULV,0.0053624377010914135,1.0039472229929368e-5,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,DER INER,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,EPI FLAV,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,EPI ITAJ,5.362437701091414e-4,2.867353641848921e-7,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,EPI MORI,0.10205720923155712,7.476992193728709e-4,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,EPI NIVE,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,EPI STRI,0.0026812188505457068,1.8404125972969363e-6,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC ACUT,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC BONA,0.006434925241309696,6.954076062083213e-6,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC INTE,0.037537063907639896,4.8249518537473704e-4,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC MICR,0.0,0.0,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC PHEN,0.011898302946186361,3.447073007513705e-5,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC TIGR,0.0026812188505457068,2.432409431444199e-6,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,MYC VENE,5.362437701091414e-4,2.867353641848921e-7,49,98,1441.0,326175.6771490434,0
2008,DRY TORT,SRR SPE.,0.0,0.0,49,98,1441.0,326175.6771490434,0
2010,DRY TORT,CEP CRUE,0.18532517101219392,0.002402541092789926,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,CEP FULV,0.005161346287300486,1.0887078095573818e-5,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,DER INER,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,EPI FLAV,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,EPI ITAJ,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,EPI MORI,0.2751325964112224,0.0036182689244813153,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,EPI NIVE,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,EPI STRI,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC ACUT,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC BONA,0.024297362942401115,2.0565734870355536e-4,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC INTE,0.058248240309309016,0.0018632244072651386,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC MICR,0.010305343511450384,1.0632583108914311e-4,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC PHEN,0.05799543967482899,0.0026288702823197663,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC TIGR,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,MYC VENE,0.0,0.0,51,100,1441.0,326175.6771490434,0
2010,DRY TORT,SRR SPE.,0.0,0.0,51,100,1441.0,326175.6771490434,0
2012,DRY TORT,CEP CRUE,0.2883738495292972,0.003533587507032802,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,CEP FULV,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,DER INER,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,EPI FLAV,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,EPI ITAJ,0.0013108181047112345,8.631785795408859e-7,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,EPI MORI,0.43940883505422024,0.004589228223067859,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,EPI NIVE,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,EPI STRI,0.0013108181047112345,1.2634147820873186e-6,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC ACUT,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC BONA,0.008780553627881871,3.99007789911727e-5,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC INTE,0.012973243889274424,5.171998138099364e-5,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC MICR,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC PHEN,0.06003739686945794,0.001048196801561714,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC TIGR,0.0,0.0,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,MYC VENE,0.001966227157066852,1.639265184412733e-6,57,112,1441.0,326175.6771490434,0
2012,DRY TORT,SRR SPE.,0.0,0.0,57,112,1441.0,326175.6771490434,0
2014,DRY TORT,CEP CRUE,0.29251325989392085,0.0024224413340825056,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,CEP FULV,0.0011801457827143355,6.606061201537978e-7,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,DER INER,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,EPI FLAV,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,EPI ITAJ,0.004720583130857342,4.543972883680727e-6,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,EPI MORI,0.4469194724054148,0.0062494993720524725,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,EPI NIVE,0.0,0.0,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,EPI STRI,0.0017702186740715029,2.9279540035503544e-6,47,94,5762.0,326062.50030062255,0
2014,DRY TORT,MYC ACUT,0.0,0.0,47,94,5762.0,326062.50030062255,0
