YEAR,abundance_mean,abundance_n,abundance_sd,abundance_se,abundance_min,abundance_max
1999,44070.600219697844,15,82783.36876858947,21374.573905579615,0,236916.69914261412
2000,45934.58987149977,15,74592.42089852807,19259.680259552886,0,225107.03482567327
2001,39413.30398678121,15,75621.47802371171,19525.381666761707,0,226564.26698837022
2002,54779.66172596266,15,75049.88070169296,19377.795872834016,0,224087.3369399167
2003,47086.24598696701,15,63823.19263199441,16479.07747770015,0,187162.43373931167
2004,53764.39019228416,15,84375.41487492755,21785.638442662395,0,240462.32100718655
2005,42002.82376200717,15,66884.45302800972,17269.491513178258,0,197736.21236305687
2006,19393.56312793676,15,26381.30199099,6811.622884158189,0,79194.43099941163
2007,28606.870685489597,15,37483.182655469325,9678.116145832226,0,104827.01726064963
2008,20790.163924323882,15,25787.21603462769,6658.23054981106,0,77121.68537747282
2009,26179.714364538566,15,32841.168306421125,8479.55319471759,0,94472.08706244473
2010,22642.00521217198,15,34854.72597844639,8999.451550076392,0,102471.2379887683
2011,30776.033474613472,15,29211.277579688827,7542.319439171795,0,74142.1403268209
2012,28695.523008780845,15,42615.589445285885,11003.297880693653,0,121487.44014419607
2014,51751.588125947135,12,83100.09691754928,23988.931662515533,780.089255395045,232156.55872945927
2016,58788.5898047666,12,75952.29976090173,21925.540356263882,1076.8395445795336,220459.84884899133
