YEAR,richness,shannon,simpson
1994,1,1,1
1995,3,1.468372819468631,1.2370479142621937
1996,1,1,1
1997,2,1.3207783281236947,1.172089828477828
1998,2,1.7048276755471312,1.5361384985110995
1999,1,1,1
2000,4,2.045295083815391,2.010456156112653
2001,5,1.817441218842999,1.6742709788057044
2002,6,3.6462580884293616,3.102417972945971
2003,6,3.282127255963735,2.967082869048262
2004,8,2.4618536178920407,2.0794312743475847
2005,3,1.9045281745841895,1.5502011679361876
2006,5,2.2216042498280215,2.0336633832680135
2007,5,1.2865237323580272,1.1166143024769448
2008,4,2.3230972317416816,1.9478569576059355
2009,8,4.147123520139771,3.350331983685474
2010,4,1.5581021037986733,1.2499322142493976
2011,8,2.1782896967093195,1.674679997066952
2012,6,3.002014291629032,2.3004779869696175
2014,6,4.187109274232943,3.796095062350708
2016,5,1.612714039248567,1.2614717863029121
