YEAR,richness,shannon,simpson
1999,3,2.1925009326858635,1.819669020189818
2000,1,1,1
2001,3,1.0448401814757216,1.0132883775862649
2002,4,1.0501536581961572,1.0145102713602814
2003,3,1.956514777495151,1.7841953860211448
2004,3,1.2464639682381558,1.103860640301501
2005,2,1.0459358998681192,1.0154222854024395
2006,1,1,1
2007,3,1.5863178420797526,1.3270482578456912
2008,3,1.2875046231414413,1.1198888416607675
2009,4,1.200348639606078,1.0740037695715174
2010,1,1,1
2011,1,1,1
2012,2,1.0916269637162284,1.0353687785258041
2014,3,1.0952232349055222,1.0318107654892892
2016,4,1.3290799271526816,1.1497211163325016
