YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1994,0.06823160262861878,20,0.21001244167511807,0.046960209570627374,0,0.6823160262861878
1995,0.007766605238938434,20,0.021208081642686786,0.004742271222541306,0,0.06948186500610869
1996,0.003948946924397609,20,0.01215460217389559,0.0027178516700297256,0,0.03948946924397609
1997,0.02697280849762201,20,0.07594739295827338,0.01698235333685881,0,0.24821033883922408
1998,0.0025831805833136387,30,0.010352194348896178,0.001890043454855981,0,0.05590543994158453
1999,7.29264538823197e-4,30,0.002776067163837339,5.068382022610335e-4,0,0.01118663283583171
2000,0.3438608010008829,30,1.5885652328215913,0.2900310040282772,0,8.723262032085563
2001,7.607753149993222,30,25.771969036072186,4.705296264127136,0,103.4887359198999
2002,4.66420184708468,30,13.976619061134498,2.551769845813347,0,67.90329768270945
2003,5.642718984399987,30,11.305427941866974,2.064079302003248,0,37.988643330301514
2004,11.12077287992713,30,28.1450040746098,5.1385512042462,0,105.37840798099393
2005,0.2666240274339765,30,0.7766341903110181,0.14179335498770157,0,3.128818691717422
2006,0.712715366066899,30,3.09325952575627,0.5647493394914804,0,16.980765913403484
2007,0.10229320685071873,30,0.3342513933687372,0.061025676008530025,0,1.3441051051766444
2008,0.08778030164034646,30,0.23117930927309635,0.042207374172446036,0,0.9013899768640811
2009,0.4409808669257693,30,0.7585816815778401,0.1384974329034614,0,2.5066844919786098
2010,0.2325442197086432,30,0.6419081557005856,0.11719585890791637,0,2.3965869195299847
2011,2.259462449584313,30,6.040085036804213,1.1027636079690297,0,29.577518368766576
2012,0.678738744102027,30,1.3284976433782703,0.24254937562357742,0,4.332889226287199
2014,1.4189511461519146,18,3.3836527150353026,0.7975345933272451,0,11.54494332342922
2016,6.268519508695623,15,21.178917766716054,5.468373053412511,0,82.58032128514056
