YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1999,0.0014440604833011756,27,0.0036947507565531167,7.110551146281718e-4,0,0.01662497843712265
2000,0.0021162724953294114,27,0.0074751988816013784,0.0014386026955128485,0,0.03702270638368984
2001,0.002994894556699367,27,0.008634017956223415,0.0016616175304045504,0,0.03644696624913373
2002,0.012308645280036794,27,0.04128188488483797,0.007944702450305449,0,0.1584408981902788
2003,0.0018073905406879446,27,0.0038958059768294667,7.497482098110152e-4,0,0.01654771145995055
2004,0.0010191300411154958,27,0.0026796260173805736,5.156942674873997e-4,0,0.008822942411195921
2005,0.003158204433532673,27,0.00958487621437059,0.001844610287505367,0,0.04395773787571455
2006,0.0020615011346079145,27,0.006425518628844325,0.0012365916366820753,0,0.023986227028573524
2007,0.001563718911782076,27,0.003701097106083228,7.122764701646989e-4,0,0.01325894679285822
2008,0.001496596442681258,27,0.0035987863978785154,6.925867651903748e-4,0,0.01300644121776776
2009,0.0011159072495613698,27,0.003460970062671224,6.66063999113489e-4,0,0.013319707959769722
2010,0.0013158911863851825,27,0.0038669790047533405,7.442004564483241e-4,0,0.014978832442067736
2011,0.0014787888671416003,27,0.004298970561868331,8.273372703776526e-4,0,0.014553351134284265
2012,0.0012084090224548782,27,0.0037872362757297297,7.288539610924251e-4,0,0.018381043641976583
2014,0.004507760655487273,9,0.005865603608173858,0.0019552012027246194,0,0.014092358682426788
2016,0.00633428753163215,15,0.010550863462719235,0.0027242212319479944,0,0.028653063925633222
