YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1999,0.7371224875712357,48,1.480472868893269,0.2136878523458666,0,5.902375813954211
2000,1.1363060850552,48,2.348239269386977,0.3389391435755554,0,10.05721427178826
2001,0.9958776694865695,48,2.108761147743794,0.3043734540766259,0,10.008109892875737
2002,0.8457669856702739,48,1.3950228134055025,0.201354199211334,0,5.180044984322103
2003,1.0146194408173428,48,2.0134176081797457,0.2906117995184272,0,7.992427589990198
2004,1.2983681658554815,48,2.752074818602701,0.397227784337565,0,10.886889427791363
2005,0.9269964100165675,48,1.8350883013923212,0.26487218119889744,0,7.737913365534204
2006,0.9639054305089786,48,1.7833299991155034,0.25740151376081777,0,8.057352447341342
2007,1.0276500176172103,48,1.8374400868183933,0.2652116321861022,0,6.846776281288893
2008,1.1766148633237286,48,2.1578345956217553,0.31145659616222693,0,7.634795496250815
2009,1.4550691046380466,48,2.853030433798729,0.41179947223997276,0,11.341069933104475
2010,1.131935687686748,48,2.4679006155153402,0.35621077117525624,0,10.877113970588235
2011,1.4345880180985542,48,2.9026166010301493,0.41895661898975833,0,11.47303099593496
2012,1.2118287906218745,48,2.3631814134404587,0.3410958562984423,0,9.195060994533883
2014,1.5629604368922296,48,2.8738144561693235,0.41479938746759926,0.002567179286250694,10.478135374351757
2016,1.5297108389469523,48,2.9105058647679876,0.4200953361254456,0,12.510818058074593
