YEAR,protected_status,richness,simpson,shannon
1999,0,12,4.75172739386099,6.190313711180507
2000,0,14,4.54085991027038,6.317341192505377
2001,0,14,4.112923115179984,5.711096228730166
2002,0,13,4.263326385958402,5.684268368174685
2003,0,15,4.189622388693896,5.851474078580206
2004,0,14,5.578425843848654,6.882068328010109
2005,0,15,4.322535330316726,6.118729427783803
2006,0,16,5.155849035867457,7.357861588642189
2007,0,16,5.134908045098556,6.950467775553758
2008,0,17,3.6500360505734264,5.439341940685667
2009,0,19,3.6326650951651334,5.569147316203973
2010,0,18,3.351023411064961,5.103733906109512
2011,0,19,3.4760890368696016,5.304801367755967
2012,0,17,3.513689136550938,5.25843766668987
2014,0,16,3.592882974527411,5.203277525371452
2016,0,15,3.557329740701017,5.225286285226656
1999,1,11,3.84556054193051,5.276476717711367
2000,1,10,3.938354591604711,5.324331700397488
2001,1,16,3.322251697272799,4.744463970109663
2002,1,13,5.146884296863863,7.159740618703454
2003,1,15,4.91554107086286,6.736558399111701
2004,1,13,4.303956298634857,5.811381915226489
2005,1,12,4.758312084382767,6.399951766961224
2006,1,14,3.8236657304538597,6.274616421171583
2007,1,13,4.0727387183295445,6.20896134560327
2008,1,14,3.10213476692903,4.470756187442597
2009,1,17,3.2138270006974716,4.539203375902783
2010,1,12,3.2461802555029866,4.607677092622184
2011,1,11,3.0856588668509892,4.229324064281599
2012,1,13,3.7478239803030755,5.457204069808161
2014,1,13,3.8352703902875853,5.445043286325768
2016,1,16,2.994964681651371,4.322745849138601
1999,all,13,4.713926910714029,6.184124420804853
2000,all,14,4.531385796709164,6.294755801103172
2001,all,18,4.071794853341405,5.697020311602234
2002,all,15,4.2953041990308725,5.7828394686800095
2003,all,18,4.2254651428085674,5.981800326811344
2004,all,15,5.606573149486678,6.968037052545267
2005,all,16,4.341987267227356,6.148485597629751
2006,all,16,5.107648210657637,7.341991636697517
2007,all,18,5.1192993010055226,6.982660736588881
2008,all,18,3.62752703855773,5.4241505252490425
2009,all,21,3.62089597852024,5.546767758962795
2010,all,18,3.348876690709492,5.090331961929749
2011,all,19,3.466922702257763,5.28411573549357
2012,all,17,3.5272798024878864,5.276418671143818
2014,all,17,3.6113099497236774,5.235556123487084
2016,all,18,3.532765601583276,5.206499913756826
